lx1;ly1;lz3;u11;u12;u13;v11;v12;v13;p11;p12;p13;res(u11);res(u12);res(u13);res(v11);res(v12);res(v13);res(p11);res(p12);res(p13);res_u11;res_u12;res_u13;res_v11;res_v12;res_v13;res_p11;res_p12;res_p13;cell_re1;lx2;ly2;lz2;u21;u22;u23;v21;v22;v23;p21;p22;p23;res(u21);res(u22);res(u23);res(v21);res(v22);res(v23);res(p21);res(p22);res(p23);res_u21;res_u22;res_u23;res_v21;res_v22;res_v23;res_p21;res_p22;res_p23;cell_re2;lx3;ly3;lz3;u31;u32;u33;v31;v32;v33;p31;p32;p33;res(u31);res(u32);res(u33);res(v31);res(v32);res(v33);res(p31);res(p32);res(p33);res_u31;res_u32;res_u33;res_v31;res_v32;res_v33;res_p31;res_p32;res_p33;cell_re3;lx4;ly4;lz4;u41;u42;u43;v41;v42;v43;p41;p42;p43;res(u41);res(u42);res(u43);res(v41);res(v42);res(v43);res(p41);res(p42);res(p43);res_u41;res_u42;res_u43;res_v41;res_v42;res_v43;res_p41;res_p42;res_p43;cell_re4;num_iter;CFL_pred;x;y;u_av;v_av;p_av
0,001417967;0,00145767;0,001510277;0;0,019814308;0;0;-0,003384813;0;0,003219999;-0,000683195;0,004665899;0;4,81548E-06;0;0;5,14912E-06;0;-2,60602E-07;-1,36759E-05;-5,35203E-08;-0,632124586;-1,150067786;-0,573000796;0,030437925;-3,468830452;0,015810467;2,728645813;26,36099583;1,966275955;1,835495739;1;300,1574828;0,136151542;0,002026744;0,007718501;0,000160414;0,002596681;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001586897;0,001510277;0,001633587;0,019814308;0,023304871;0;-0,003384813;-0,000985256;0;-0,000683195;-0,000472924;0,004665899;4,81548E-06;6,70486E-06;0;5,14912E-06;5,41595E-06;0;-1,36759E-05;1,42589E-05;-5,35203E-08;-1,150067786;-1,285750838;-0,573000796;-3,468830452;-2,323046595;0,015810467;26,36099583;42,63364814;1,966275955;3,986499438;1;300,2674871;0,136203447;0,002906773;0,010831287;0,000175832;0,00244118;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001448517;0,001443761;0,001543361;0,004925753;0;0;8,7501E-05;0;0;0,003048785;0,003219999;0,005476264;3,79633E-07;0;0;-1,14806E-07;0;0;2,31566E-06;-2,60602E-07;-1,65381E-08;-0,746123973;-0,632124586;-0,555151391;0,057832407;0,030437925;0,010322807;-4,015204335;2,728645813;1,228772605;0,407527171;1;300,0269433;0,135353138;0,000815218;0,0031903;6,70136E-05;0,002827892;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001486359;0,00145767;0,001543361;0;0;0;0;0;0;0,004665899;0,005476264;0,003219999;0;0;0;0;0;0;-5,35203E-08;-1,65381E-08;-2,60602E-07;-0,573000796;-0,555151391;-0,632124586;0,015810467;0,010322807;0,030437925;1,966275955;1,228772605;2,728645813;0;1;300,074062;0,135376225;0,001640412;0,006325798;0,000144768;0,002830379;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001473997;0,001443761;0,001554054;0;0,018548969;0,004925753;0;0,001751456;8,7501E-05;0,005476264;0,000204266;0,003048785;0;-2,02674E-06;3,79633E-07;0;-8,62949E-06;-1,14806E-07;-1,65381E-08;2,01667E-05;2,31566E-06;-0,555151391;0,242693782;-0,746123973;0,010322807;4,080063176;0,057832407;1,228772605;40,0735427;-4,015204335;2,113908958;1;300,005262;0,134570272;0,000411499;0,001641918;2,9167E-05;0,002998039;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001508174;0,001540234;0,001571429;0;0,00513188;0,021952174;0;6,43453E-05;-0,002435511;0,006305951;0,003620927;-0,001043224;0;2,43853E-07;4,64805E-06;0;-8,77332E-08;4,91441E-06;-1,53424E-09;1,31814E-06;-7,85654E-06;-0,543597809;-0,653079295;-1,398282285;0,006460415;0,065057959;-2,950680138;0,694386793;1,17904438;58,95200544;2,457622266;1;751,4309983;0,13956473;0,007061063;0,021051561;-0,002432662;-0,000637459;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001508174;0,001528152;0,001559298;0,00513188;0;0;6,43453E-05;0;0;0,003620927;0,006305951;0,003896162;2,43853E-07;0;0;-8,77332E-08;0;0;1,31814E-06;-1,53424E-09;-1,36194E-07;-0,653079295;-0,543597809;-0,598615183;0,065057959;0,006460415;0,022409316;1,17904438;0,694386793;3,888568625;0,427633097;1;751,5729088;0,139131684;0,006269031;0,019911722;-0,002194324;-0,000217607;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001559298;0,001612698;0,001671693;0;0;0,005417639;0;0;1,66417E-05;0,003896162;0,006305951;0,005914827;0;0;8,54554E-08;0;0;-2,72108E-08;-1,36194E-07;-1,53424E-09;2,20221E-07;-0,598615183;-0,543597809;-0,557302537;0,022409316;0,006460415;0,024019713;3,888568625;0,694386793;0,940513989;0,455834807;1;1222,014464;0,13821619;0,006237919;0,019996828;-0,001219926;0,000329717;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001428559;0,001528049;0,001612698;0,024217352;0;0,005417639;0,000353648;0;1,66417E-05;-0,00062546;0,003896162;0,005914827;4,21973E-06;0;8,54554E-08;-1,85282E-06;0;-2,72108E-08;1,62573E-05;-1,36194E-07;2,20221E-07;-1,347378824;-0,598615183;-0,557302537;0,923205457;0,022409316;0,024019713;57,45850179;3,888568625;0,940513989;2,653162313;1;770,7732301;0,13782265;0,005453348;0,018385706;-0,000902472;0,000790216;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001142296;0,001328825;0,001528049;0,023297496;0,024217352;0,005417639;0,000998313;0,000353648;1,66417E-05;-0,000505529;-0,00062546;0,005914827;6,59827E-06;4,21973E-06;8,54554E-08;-5,39536E-06;-1,85282E-06;-2,72108E-08;1,41409E-05;1,62573E-05;2,20221E-07;-1,338054914;-1,347378824;-0,557302537;2,409439868;0,923205457;0,024019713;43,67556005;57,45850179;0,940513989;4,766452416;1;770,6902605;0,137075534;0,005335285;0,018070824;-0,0003387;0,001306585;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,00150614;0,001509618;0,001571429;0;0,021952174;0,00528261;0;-0,002435511;4,22975E-05;0,003957117;-0,001043224;0,00433082;0;4,64805E-06;1,7439E-07;0;4,91441E-06;-6,34785E-08;8,68823E-06;-7,85654E-06;8,26562E-07;-0,69537871;-1,398282285;-0,612366288;0,059172446;-2,950680138;0,0533018;15,16921187;58,95200544;1,314229234;2,474276307;1;299,9299732;0,139571003;0,008641745;0,022828909;-0,001563687;-0,000917951;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,00150614;0,001540234;0,001599298;0,021952174;0;0;-0,002435511;0;0;-0,001043224;0,003957117;0,006305951;4,64805E-06;0;0;4,91441E-06;0;0;-7,85654E-06;8,68823E-06;-1,53424E-09;-1,398282285;-0,69537871;-0,543597809;-2,950680138;0,059172446;0,006460415;58,95200544;15,16921187;0,694386793;2,029989169;1;751,3455693;0,139135733;0,007845665;0,022215082;-0,001632809;-0,000567368;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001497275;0,001487648;0,001571429;0,005465747;0,00528261;0,005457368;3,06258E-06;4,22975E-05;5,59758E-06;0,008410297;0,00433082;0,007573341;3,96305E-08;1,7439E-07;4,83144E-08;-5,97576E-09;-6,34785E-08;-1,00407E-08;3,22962E-08;8,26562E-07;5,92084E-08;-0,529483419;-0,612366288;-0,53483908;0,005846872;0,0533018;0,009639562;0,352675353;1,314229234;0,513434284;1,360462397;1;299,7352982;0,139577043;0,010217334;0,023704753;-0,000540294;-0,001050558;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,001497275;0,001509618;0,001584013;0,00528261;0,005465747;0;4,22975E-05;3,06258E-06;0;0,00433082;0,008410297;0,003957117;1,7439E-07;3,96305E-08;0;-6,34785E-08;-5,97576E-09;0;8,26562E-07;3,22962E-08;8,68823E-06;-0,612366288;-0,529483419;-0,69537871;0,0533018;0,005846872;0,059172446;1,314229234;0,352675353;15,16921187;0,902579565;1;299,7951559;0,139148046;0,009430507;0,023588482;-0,000866617;-0,000774524;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0,000997572;0,00132818;0,001328825;0,008094412;0,023297496;0,005417639;0,00319943;0,000998313;1,66417E-05;0,003143404;-0,000505529;0,005914827;-5,52554E-07;6,59827E-06;8,54554E-08;-1,01264E-06;-5,39536E-06;-2,72108E-08;-6,54263E-05;1,41409E-05;2,20221E-07;-1,323372126;-1,338054914;-0,557302537;3,405799906;2,409439868;0,024019713;-4,501295918;43,67556005;0,940513989;3,23111128;1;770,628468;0,136551823;0,005766397;0,019062088;-0,000138894;0,00152;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
